,precision,recall,f1-score,support
tiger,1.0,0.992,0.9959839357429718,250.0
leopard,0.9549180327868853,0.932,0.9433198380566802,250.0
black_bear,0.956,0.956,0.956,250.0
other_carnivores,0.8935361216730038,0.94,0.9161793372319688,250.0
deer,0.935064935064935,0.864,0.8981288981288982,250.0
wild_boar,0.9868421052631579,0.9,0.9414225941422594,250.0
buffalo,0.9097744360902256,0.968,0.937984496124031,250.0
rhino,0.8941176470588236,0.912,0.902970297029703,250.0
elephant,0.9083969465648855,0.952,0.9296875,250.0
bird,0.924901185770751,0.936,0.9304174950298212,250.0
micro avg,0.9352,0.9352,0.9352,2500.0
macro avg,0.9363551410272667,0.9352,0.9352094391486334,2500.0
weighted avg,0.9363551410272667,0.9352,0.9352094391486334,2500.0
